.!bt   |   BitTorrent Incomplete Download file
.8u   |   Printer font with Roman 8 extended character set (PageMaker)
.a   |   Ada source code file
Library (unix)
.a0?   |   ALZip Split Archive file
.a11   |   Graphics AIIM image file
.a2b   |   A2B Player Playlist
.a3d   |   Amapi 3D Modeling file
.a3m   |   Unpackaged Authorware MacIntosh file
.a3w   |   Unpackaged Authorware Windows file
.a4a   |   Authorware 4.x Library
.a4m   |   Unpackaged Authorware MacIntosh file
.a4p   |   Authorware file packaged without runtime
.a4w   |   Unpackaged Authorware Windows file
.a5w   |   Unpackaged Authorware Windows file
.aa   |   Audible Audio file
.aab   |   Macromedia Authorware Binary
.aac   |   Advanced Audio Coding MPEG-2, MPEG-4
.aam   |   Authorware shocked file
.aax   |   Audible Audiobook file
.ab2   |   Parson’s Address Book
.ab6   |   Datafile (ABStat)
.ab8   |   Datafile (ABStat)
.aba   |   Palm Address Book file
.abc   |   ActionScript Byte Code File
ABC FLOWCHARTER 1.x flowchart
ABC2K Audio/Video Controller Software
.abd   |   AmBiz Bonus Calculator data file
Adventure Builder database
.abf   |   Adobe Binary Font
.abi   |   ABI CODER Encryption software
AOL extension: AOL 6 Organizer
.abk   |   Automatic backup file (CorelDRAW)
.abm   |   ImagePals Photo Album Document
Montage Photo Album file
PhotoPlus Album file
.abr   |   Adobe Photoshop brush file
.abs   |   Abstracts (info file)
Data file (Abscissa)
MPEG audio sound file
.abw   |   AbiWord document
.abx   |   WordPerfect Address Book file
.aby   |   AOL file (located in AOL program directory)
.ac3   |   AC3 Audio File Format
.aca   |   Microsoft Agent Character file
Project (Project Manager Workbench)
.acb   |   Graphics (ACMB)
.acc   |   Program (DR-DOS – ViewMax) (GEM / resident)
.acd   |   Sonic Foundry Acid music file
.ace   |   Ace Archiver / WinAce compressed file
.acf   |   Microsoft Agent Character file
Adobe Photoshop Custom Filter
.aci   |   ACI Development Appraisal
.acl   |   Microsoft Office Auto Correction file
Document file (Audit Command Language)
ArborText Command Language
.acm   |   Audio Compression Manager Driver
Photoshop command button
Windows system file
ACBM image file
Interplay compressed Sound file
.acorn   |   ACORN Graphics format
.acs   |   MS Agent Character file
.acs2   |   AIMP2 Media Player Skin file
.acsm   |   Adobe Content Server Message file
.act   |   Actor source code file
Foxdoc Action Diagrams (FoxPro)
Presentation (Action!)
.acv   |   OS/2 Audio Drivers
Photoshop Saved Curve
.ad   |   Screen saver data (AfterDark)
.ada   |   Ada source code file
.adb   |   Ada Package Body
.adc   |   Bitmap graphics (16 colors) (Scanstudio)
.ade   |   Microsoft Access Project
.adf   |   Adapter Description file
Admin Config file
Amiga Disk File
Dog Creek QC Mask file
.adi   |   Graphics (AutoCAD)
.adl   |   Mca adapter description library (QEMM)
.adm   |   After Dark Screen Saver Module
Windows Policy Template
Addict Compiled Dictionary
Administrative template files for protected mode in Internet Explorer 7.0
Advantage Data Server Database Memo file
.adn   |   Add-in (Lotus 1-2-3)
.ado   |   Photoshop Duotone Options
Stata Program
.adp   |   FaxWorks Modem setup file
Astound Dynamite file
MS Access Project
AOLserver Dynamic Page file
.adr   |   Address Book
Address Plus Database
After Dark Random Screen Saver Module
Opera Web Browser Bookmark file
Smart Address Address Book
.ads   |   Ada Package Specification
.adt   |   Datafile for cardfile application (HP NewWave)
Fax (AdTech)
.adx   |   Document (Archetype Designer)
.adz   |   GZ-Packed Amiga Disk file
.aeh   |   iPer Advanced Embedded Hypertext
.aep   |   Adobe After Effects Project file
.aex   |   PGP Armored Extracted Public Encryption Key
After Effects Plugin file
.af2   |   Flowchart (ABC FlowCharter 2.0)
.aff   |   AnyForm Form file
.afi   |   Truevision bitmap graphics
.afl   |   Font file (for Allways) (Lotus 1-2-3)
.afm   |   Type 1 font metric ASCII data for font installer (ATM – many)
Datafile for cardfile application (HP NewWave)
.afs   |   Adobe Type Manager font set
.aft   |   AnyForm template file
.ag   |   Applixware graphics file
.agp   |   Aspen Graphics Pages
.agw   |   Aspen Graphics Windows
.ai   |   Vector graphics (Adobe Illustrator)
.aiff   |   Audio interchange file format
.ain   |   Compressed file archive created by AIN
.aio   |   APL file transfer format file
.air   |   Adobe AIR Installation Package file
Automatic Image Registration
.ais   |   Array of Intensity Samples graphics (Xerox)
.aix   |   Datafile for cardfile application (HP NewWave)
.ajp   |   JPEG2000 Digital closed-circuit television (CCTV) security camera video format
.alb   |   JASC Image Commander Album
Photo Soap2 file
Steinberg Cubase or VST Backup Song file
.albm   |   webAlbum Photo Album
HP Photosmart Photo Printing Album
.all   |   Format file for working pages (Always)
General printer information (WordPerfect for Win)
Symbol and font files (Arts & Letters)
.als   |   Alias Image
Calmira Shortcut file
.alt   |   Menu file (WordPerfect Library)
.alx   |   ActiveX Layout file
.alz   |   ALZip Compressed file
.amf   |   Music (Advanced Module Format)
.amff   |   Amiga Metafile
.amg   |   Compressed file archive created by AMGC
System image file (Actor)
.amp   |   Photoshop Arbitrary Map Settings
.amr   |   Adaptive Multi-Rate ACELP Codec
Above audio file extension
.amv   |   AMV Video file
.amx   |   After Effects Motion Exchange file
.anc   |   Animation file format (MorphInk)
.ani   |   Animation (Presidio – many)
.anm   |   Animation (Deluxe Paint Animator)
.ann   |   Help Annotations (Windows 3.x)
.ans   |   Ansi graphics (character animation)
Ascii text ANSI character set (NewWave Write)
.aos   |   Add-On Software (Nokia 9000)
ARCHOS 504 media
.ap   |   Compressed Amiga file archive created by WHAP
Datafile (Datalex EntryPoint 90)
Artwork Systems Program (ArtPro)
.apc   |   Printer driver (Lotus 1-2-3)
.apd   |   Printer driver (Lotus 1-2-3)
.ape   |   Music format (different players)
.apf   |   Printer driver (Lotus 1-2-3)
.api   |   Adobe Acrobat Plugin file
Passed parameter file (1st Reader)
Printer driver (Lotus 1-2-3)
.apk   |   Android Package file
.apl   |   APL work space format file
.apm   |   ArcPad 6 file
.app   |   Add-in application file (Symphony)
Application object file (dBASE Application Generator)
Executable application file (DR-DOS – NeXTstep – Atari)
Generated application (FoxPro)
.apr   |   Employee performance review (Employee Appraiser)
.aps   |   MS Visual C++ file
ArcPad 5 Symbology file
.apx   |   Appexpert database file (Borland C++ 4.5)
.arc   |   Compressed file archive created by ARC (arc602.exe/pk361.exe)
Compressed file archive created by SQUASH (squash.arc)
.arf   |   Automatic Response file
.arg   |   AutoCAD Profile Export file
.ari   |   Compressed file archive created by ARI
.arj   |   Compressed file archive created by ARJ (arj241.exe)
.arl   |   AOL Organizer File
.ark   |   Arc file archive created by CP/M port of ARC file archiver
Compressed file archive created by QUARK
.arr   |   Arrangement (Atari Cubase)
.ars   |   Adobe After Effects Render
.art   |   Graphics (scrapbook) (Art Import)
Raster graphics (First Publisher)
.arv   |   Arsiv File
AutoRoute User Information
.arx   |   Compressed file archive created by ARX
.asa   |   MS Visual InterDev file
Active Server Document
.asc   |   Ascii text file
Adobe ActionScript Communication file
Transport armor file (PGP)
.ascx   |   Microsoft ASP.NET user control file
.asd   |   Autosave file (Word for Windows)
Presentation (Astound)
Screen driver (Lotus 1-2-3)
.asf   |   Datafile (STATGRAPHICS)
Screen font (Lotus 1-2-3)
.ash   |   Assembly language header file (TASM 3.0)
.asi   |   Assembler include file (Turbo C – Borland C++)
.asl   |   Adobe Photoshop Layer file
.asm   |   Assembly source code file
Pro/Engineer Assembly file
.asmx   |   Microsoft .NET Web Service file
.aso   |   Assembler object (object orientated) file (Turbo Assembler)
.asp   |   Microsoft Active Server Page
Aspect source code file (Procomm Plus)
Association of Shareware Professionals OMBUDSMN.ASP notice
.aspx   |   Microsoft ASP.NET file
.asr   |   Ms Automap Route
Photoshop Scratch Area
.asx   |   Microsoft Windows Media Active Stream Redirector file
.asx   |   Microsoft Advanced Streaming Format
.at2   |   Auto template (Aldus Persuasion 2.0)
.atm   |   Adobe Type Manager data/info
.atn   |   Adobe Photoshop Action file
.atr   |   Lightscape Material Library
.att   |   AT&T Group 4 Bitmap
.aty   |   3D Topicscape (Exported association type)
.au   |   Sound (audio) file (SUN Microsystems)
.au3   |   Autoit3 script file
.aud   |   Audio file
.aut   |   AutoIt Script
PocketWear Car Lease Kit vehicle data file
TLG Workplace CD search file
Xitami Webserver Admin Password file
GPSMan-autoMapic file
Signwave Auto-Illustrator file
Descent Manager Mission file
Authentication file (various)
Interactive Pictures iPIX Format
.aux   |   Auxillary references (TeX/LaTeX)
Auxiliary dictionary (ChiWriter)
.ava   |   Publication (Avagio)
.avb   |   Inoculan Anti-Virus virus infected file
Microsoft Chat character file
.avd   |   Avery Label Pro Data file
.avi   |   Audio Video Interleaved animation file (Video for Windows)
.avr   |   Audio Visual Research file
.avs   |   Animation file
Application Visualization System Format
Stardent AVS-X image
Winamp Advanced Visualization Studio file
.avx   |   ArcView file
.aw   |   Text file (HP AdvanceWrite)
Answer Wizard for Microsoft Help
.awb   |   Lavasoft Ad-aware backup file
.awd   |   AWD MS Fax
Award BIOS file
AWK Language Source Code file
.awe   |   Adobe Acrobat Bookmark XML file
.awk   |   Awk script/program
.awm   |   Movie (Animation Works)
.awp   |   Microsoft Fax key viewer
.awr   |   Telsis Digital Audio file
.aws   |   Data (STATGRAPHICS)
.ax   |   DirectShow Filter
.axd   |   Avery Label Pro Re-Index file
Actrix Technical file
.axe   |   Paradigm C++ Integrated Debugger file
ChordMaster
MS Autoroute export file
.axg   |   MS Autoroute Trip file
.axl   |   ArcIMS XML Project file
.axs   |   AMX Axcess control system file format
HTML Active X script
.axt   |   ZenWorks snAPPshot ASCII Application Object template
Photoshop Replace Color/Color Range
.axx   |   axxess files used as backups of Inter-Tel databases
.azw   |   Amazon Kindle eBook File
.azz   |   AZZ Cardfile
.b   |   Batch list (APPLAUSE)
.b&w   |   Black and white graphics (atari – mac)
.b~k   |   backup file
Mono binary screen image (1st Reader)
.b00   |   CD Image Segment file
.b16   |   PCO Graphic file
.b1n   |   Both mono and color binary screen image (1st Reader)
.b1s   |   Booksmith
.b30   |   Printer font (JLaser – Cordata) (Ventura Publisher)
.b3d   |   3D Builder file
.b5i   |   Blindwrite 5 Disk Image file
.b5t   |   Blindwrite 5 Image Information file
.b6i   |   Blindwrite 6 Disk Image file
.b6t   |   Blindwrite 6 Image Information file
.b8   |   Raw graphics (one byte per pixel) plane two (PicLab)
.b_w   |   Black and white graphics (atari – mac)
.bad   |   Bad file (Oracle)
.bag   |   PMMail Mail Index file
OS/2 Netfinity Manager Sysinfo file
AOL Instant Messenger file
.backup   |   Ad-Aware Reference file
.bak   |   Backup file
.bal   |   Music score (Ballade)
.ban   |   Sierra Print Artist Banner
.bar   |   Horizontal bar menu object file (dBASE Application Generator)
.bas   |   Basic source code file
Microsoft Visual Basic class module
.bat   |   Batch file (DOS)
.bb   |   Database backup (Papyrus)
.bba   |   Settler IV Archive file
.bbl   |   Bibliographic reference (TeX/BibTeX)
.bbm   |   Brush (Deluxe Paint)
.bbs   |   Bulletin Board System announce or text info file
.bc!   |   Bitcomet Incompleted Download file
.bcf   |   ConfigSafe Snapshot index
Belarc Advisor Content File
The Sims (Maxis) File
.bch   |   Batch process object file (dBASE Application Generator)
Datafile (Datalex EntryPoint 90)
.bck   |   Backup
.bcm   |   MS Works Communications file
.bcn   |   Business Card Pro Design
.bco   |   Outline font description (Bitstream)
.bcp   |   Borland C++ makefile
.bct   |   Business Card Designer template
.bcw   |   Environment settings (Borland C++ 4.5)
.bde   |   Borland Database Engine
.bdf   |   Bitmap Distribution Format font file (X11)
Datafile (Egret)
.bdm   |   AVCHD Index file
.bdmv   |   Blu-ray information file
.bdr   |   Border (MS Publisher)
.bez   |   Outline font description (Bitstream)
.bf2   |   Bradford 2 font
.bff   |   Binary file format
.bfm   |   Font metrics (unix/Frame)
.bfs   |   Tivoli Storage Manager file
.bfx   |   Fax (BitFax)
.bga   |   Bitmap graphics
.bgt   |   Quicken 2002 Internet Common File
.bgi   |   Borland Graphics Interface device driver
.bgl   |   Flight Simulator scenery file
.bgt   |   Quicken 2002 Internet Common File
.bib   |   Bibliography (ASCII)
Database – not compatible with TeX format (Papyrus)
Literature database (TeX/BibTeX)
.bic   |   Civilization III Scenario
.bid   |   BidMaker 2002 file
.bif   |   Binary Image Format b&w graphics (Image Capture board)
.bik   |   BioCharter Profile backup file
Bink Game video file
.bin   |   Binary file
.bio   |   OS/2 BIOS
.bip   |   Free-motion capture files for character studio biped
.bit   |   Bitmap Image
Worms Armageddon Imported Map
Worms World Party Imported Map
.bk   |   Faxbook (JetFax)
.bk!   |   Document backup (WordPerfect for Win)
.bk1   |   Timed backup file for document window 1 (WordPerfect for Win)
.bk2   |   Timed backup file for document window 2 (WordPerfect for Win)
.bk3   |   Timed backup file for document window 3 (WordPerfect for Win)
.bk4   |   Timed backup file for document window 4 (WordPerfect for Win)
.bk5   |   Timed backup file for document window 5 (WordPerfect for Win)
.bk6   |   Timed backup file for document window 6 (WordPerfect for Win)
.bk7   |   Timed backup file for document window 7 (WordPerfect for Win)
.bk8   |   Timed backup file for document window 8 (WordPerfect for Win)
.bk9   |   Timed backup file for document window 9 (WordPerfect for Win)
.bkf   |   Microsoft Backup file
.bkg   |   Background file
UWXAFS Binary Format Data file
.bkp   |   Backup file (Write – TurboVidion DialogDesigner)
.bkw   |   Mirror image of font set (FontEdit)
.blb   |   DreamWorks Resource Archive
.bld   |   Bloadable picture (BASIC)
.blend   |   Blender 3D file
.blf   |   Windows Registry Recovery file
Bantec Scanner Driver file
.blg   |   Binary Performance Log File
.blk   |   Temporary file (WordPerfect for Win)
Lightscape Block Library
Alias Wavefront Image
VersaPro Block
.blob   |   Steam Archive file
.blt   |   Saved AIM Buddy List file
Wordperfect for DOS file
.bm   |   Bitmap graphics
.bmf   |   Corel Image file
.bmi   |   3ds max Executable
.bmk   |   Help Bookmarks (Windows 3.x)
.bmp   |   Bitmap graphics (PC Paintbrush – many)
.bmx   |   Buzz music file
.bnd   |   Typequick file
.bndl   |   Bundle file
.bnk   |   Adlib instrument bank file
.bob   |   BobDown Downloading Program
Bob Raytracer
.bom   |   MicroSim PCBoard Bill of Materials
Orcad Schematic Capture Bill of Materials file
Softshare Delta Business Object Model
.boo   |   Compressed file ASCII archive created by BOO (msbooasm.arc)
.book   |   Adobe FrameMaker Book
HTMLDOC document
.bot   |   Linkbot file
.box   |   Myriad Jukebox file
Notes Mailbox
.bpc   |   Chart (Business Plan Toolkit)
.bpl   |   Delphi Library
.bpt   |   Bitmap fills file (CorelDRAW)
.bqy   |   BrioQuery file
.br   |   Script (Bridge)
.brd   |   Eagle Layout file
.brf   |   Braille ASCII file
.brk   |   Fax (Brooktrout Fax-Mail)
.brn   |   BornoSoft Bangla2000 (a Bengali word processor) File extension
.bro   |   Tree Professional Broadleaf Creator file
.brp   |   Tree Professional Broadleaf Creator image
.brt   |   Micrografx Picture Publisher file
.brx   |   Multimedia browsing index
.bsa   |   Compressed file archive created by BSARC
.bsb   |   MapInfo Sea Chart
SWAT Sub-basin Output file
.bsc   |   Compressed Apple II file archive created by BINSCII
Database (Source Browser)
Pwbrmake object file (MS Fortran)
.bsdl   |   Boundary Scan Description Language
.bsl   |   BSPlayer Configuration file
.bsp   |   Half-life/TFC/CS Map
Quake Map
.bst   |   BibTeX Style file
.bsv   |   Bluespec System Verilog file
.bt!   |   BitTorrent Partial Download file
.btm   |   Batch To Memory batch file (4DOS)
.btn   |   Buttonware file
.bto   |   Baytex Organix! 2001 Language Kit
.btr   |   Btrieve Database file
MS Frontpage-related file
.btx   |   DB/TextWorks Database Term & Indexes
.bud   |   Quicken Backup
.bug   |   Bugs and Problems
.bun   |   Bundled Audio files
.bup   |   DVD Backup file
.but   |   Button definitions (Buttons!)
.buy   |   Datafile format (movie)
.bv1   |   Overflow file below insert point in Doc 1 (WordPerfect for Win)
.bv2   |   Overflow file below insert point in Doc 2 (WordPerfect for Win)
.bv3   |   Overflow file below insert point in Doc 3 (WordPerfect for Win)
.bv4   |   Overflow file below insert point in Doc 4 (WordPerfect for Win)
.bv5   |   Overflow file below insert point in Doc 5 (WordPerfect for Win)
.bv6   |   Overflow file below insert point in Doc 6 (WordPerfect for Win)
.bv7   |   Overflow file below insert point in Doc 7 (WordPerfect for Win)
.bv8   |   Overflow file below insert point in Doc 8 (WordPerfect for Win)
.bv9   |   Overflow file below insert point in Doc 9 (WordPerfect for Win)
.bwa   |   BlindWrite Disk Image Information file
.bwb   |   Spreadsheet application (Visual Baler)
.bwi   |   Blindread/Blindwrite
.bwr   |   Beware (buglist) (Kermit)
.bws   |   Blindwrite Sub Channel Data File
.bwt   |   Blindread/Blindwrite
.bxx   |   blaxxun Contact
.bz2   |   Bzip 2 UNIX Compressed file
.c   |   C source code file
Compressed unix file archive created by COMPACT
.c++   |   C++ source code file
.c–   |   Source code (Sphinx C–)
.c00   |   Print file (Ventura Publisher)
WinAce Split Archive file
.c01   |   Genesis 2000
.c2d   |   WinOnCD CD Image
.c4d   |   MAXON Cinema 4D File (Graphics)
.c60   |   Midtronics Battery Management Software
.c86   |   C source code file (Computer Innovation C86)
.ca   |   Initial cache data for root domain servers (Telnet)
.cab   |   Cabinet File (Microsoft installation archive)
.cache   |   Cache file (typically Web cache)
.cad   |   Softdesk Drafix CAD File
.cac   |   dBASE IV executable when caching on/off (see cachedb.bat)
.cad   |   Document (Drafix Windows CAD)
.cag   |   MS Clip Gallery Catalog file
.cal   |   Calendar file (Windows 3.x)
Calendar Maker Pro
.calb   |   Coolect Album file (Coolect Album Player)
Spreatsheet (SuperCalc)
.cam   |   Casio Camera Graphic
.can   |   Fax (Navigator Fax)
.cap   |   Caption (Ventura Publisher)
Session capture file (Telix)
.car   |   AtHome Assistant file
Carrara Environment
NeoBook Cartoon
.cas   |   Comma-delimited ASCII File
.cat   |   Catalog (dBASE IV)
.cb   |   Clean Boot File (Microsoft)
Brief Macro Source Code
.cbc   |   Fuzzy logic system (CubiCalc)
.cbf   |   Calendar Builder file
.cbl   |   Cobol source code file
.cbm   |   Compiled bitmap graphics (XLib)
.cbp   |   CentralBuilder Project
.cbr   |   ComicBook Reader File archive (CDisplay image viewer)
.cbt   |   Computer Based Training (many)
.cbz   |   ComicBook Reader File archive (CDisplay image viewer)
.cc   |   C++ source code file
.cca   |   CC:Mail archive file
.ccb   |   Visual Basic Animated Button Configuration
.ccc   |   Bitmap graphics (native format) (Curtain Call)
.ccd   |   CloneCD Related file
Vector CAD Program file
.cce   |   Calendar Creator 2 Event file
.ccf   |   Communications configuration file (Symphony)
.cch   |   Chart (CorelChart)
.ccl   |   Communication Command Language file (Intalk)
.cco   |   Btx Graphics file (XBTX)
.cct   |   Macromedia Director Shockwave file
.ccx   |   Corel PrintHouse file
.cda   |   CD Audio Track
.cdb   |   Card database (CardScan)
Main database (TCU Turbo C Utilities)
.cdd   |   ConceptDraw Document file
.cde   |   Honeywell Hybrid Control Designer
.cdf   |   Component Definition file
Graphics (netcdf)
.cdg   |   Compact Disc Plus Graphics file
.cdi   |   Phillips Compact Disk Interactive format
DiscJuggler Image file
.cdk   |   Document (Atari Calamus)
.cdl   |   CaseWare Working Papers Document Link
SignLab Vector Graphic
.cdm   |   Media Maker Disk Image file
Visual dBASE Custom Data Module
.cdp   |   Visual Objects Developer file
CD/Spectrum Pro
.cdr   |   Vector graphics (CorelDRAW native format)
.cdt   |   Data (CorelDraw 4.0)
.cdx   |   CorelDraw Compressed Image file
Compound index (FoxPro)
.ce   |   Main.ce (The FarSide Computer Calendar)
.ceb   |   Apabi eBook file
.ceg   |   Bitmap graphics (Tempra Show – Edsun Continuous Edge Graphics)
.cel   |   Graphics (Autodesk Animator – Lumena)
.cf   |   Sendmail Configuration file
Configuration file (imake)
.cfb   |   Comptons multimedia file
.cfc   |   Macromedia Coldfusion component extension
.cfg   |   Configuration
.cfl   |   Chart (CorelFLOW)
.cfm   |   ColdFusion Markup Language (Allaire)
.cfn   |   Font data (Atari Calamus)
.cfo   |   C Form Object internal format object file (TCU Turbo C Utilities)
.cfp   |   Quicken Cash Flow Projection file
Fax (The Complete Fax Portable)
.cfr   |   Crossfire Replay file
.cga   |   CGA display font (Ventura Publisher)
.cgd   |   Cricket Graph Data file
.cge   |   CCD Astrocamera
.cgi   |   Common Gateway Interface script
.cgm   |   Computer Graphics Metafile vector graphics (A&L – HG – many)
.ch   |   Header file (Clipper 5)
.ch3   |   Chart (Harvard Graphics 3.0)
.ch4   |   Presentation (Charisma 4.0)
.chd   |   Font descriptor (FontChameleon)
.chi   |   Document (ChiWriter)
.chk   |   Recovered data (ChkDsk)
Temporary file (WordPerfect for Win)
.chl   |   Configuration History Log
.chm   |   Compiled HTML
.chn   |   Data (Ethnograph 3)
.cho   |   ChordPro file
.chp   |   Chapter file (Ventura Publisher)
.chr   |   Character set (Turbo C – Turbo Pascal)
.cht   |   Chart (Harvard Graphics 2.0 – SoftCraft Presenter)
Interface file for ChartMaster (dBASE)
.chw   |   Compiled Help Index file
.cid   |   AnalogX Caller ID file
.cif   |   Caltech Intermediate Format graphics
Chapter information (Ventura Publisher)
.ciff   |   Canon CIFF
.cil   |   Clip Gallery Download Package
.cit   |   Intergraph Raster File Reference
.cix   |   Database index (TCU Turbo C Utilities)
.ckb   |   Keyboard mapping (Borland C++ 4.5)
.cl   |   Common LISP source code file
.cl3   |   Easy CD Creator Layout file
.cl4   |   Easy CD Creator Layout file
.cl5   |   Easy CD Creator Layout file
.class   |   Java class file
.clb   |   ICQ Contact List
MS Office XP Developer Code Librarian
cdrLabel Compact Disc Label
.clg   |   Windows Catalog file
.cli   |   Client Management System Customer file
.clm   |   COLIMO file
.clp   |   Clip art graphics (Quattro Pro)
Clipboard file (Windows 3.x)
Compiler script file (clip list) (Clipper 5)
.clpi   |   Blue-ray Disc Clip Information file
.clr   |   Color binary screen image (1st Reader)
Color definitions (Photostyler)
.cls   |   C++ class definition file
.cm   |   Data file (CraftMan)
.cmd   |   Batch file (OS/2)
Command (dBASE – Waffle)
External command menu (1st Reader)
.cmf   |   FM-music file (Creative Music File)
.cmg   |   CMG file
.cmk   |   Card (Card Shop Plus)
.cml   |   COMAL programming language
.cmm   |   Cmm script (batch) file (CEnvi)
.cmo   |   Virtools Composition file
.cmp   |   Header file for PostScript printer files (CorelDRAW)
User dictionary (MS Word for DOS)
Bitmap graphics (Lead CMP compression)
.cmq   |   Culturemetrics file
.cmt   |   Culturemetrics file
.cms   |   TrialDirector media storage
.cmv   |   Animation (CorelMove CorelDraw 4.0)
.cmx   |   Corel PhotoPaint Image
Corel Presentation Exchange Image
The Sims (Maxis) 3D Body Mesh Data
Apple Viewer file
.cnc   |   CNC general program data
.cnd   |   ControlDraw file
Embroidery Design file
.cnf   |   Configuration (program – printer setup)
.cnt   |   Helpfile contents
.cnv   |   Data conversion support file (Word for Windows)
Temporary file (WordPerfect for Win)
.cob   |   Cobol source code file
.cod   |   Datafile (Forecast Plus – MS Multiplan – StatPac Gold)
Program compiled code (FORTRAN)
Template source file (dBASE Application Generator)
Videotext file
.col   |   Color palette (Autodesk Animator – many)
Spreadsheet (MS Multiplan)
.com   |   Command (memory image of executable program) (DOS)
.con   |   Configuration file (Simdir)
.conf   |   Configuration file
.config   |   Configuration file
.cor   |   Protein Structure file
Web GPS Correction Server Export file
WMOVIEC Input file
.cpd   |   Script (Complaints Desk)
.cpe   |   MS Fax Cover Sheet
.cpf   |   Fax (The Complete Fax)
Clever Cache Profile file
.cph   |   Corel Print House image
.cpi   |   Code Page Information file (DOS)
AVCHD Clip Information
Colorlab Processed Image bitmap graphics
.cpl   |   Control panel file (Windows 3.x)
Presentation (Compel)
.cpo   |   Corel Print House file
.cpp   |   C++ source code file
Presentation (CA-Cricket Presents)
.cpr   |   Cubase Project file
.cps   |   Backup of startup files by Central Point PC Tools autoexec.cps
coloured postscript files
.cpt   |   Compressed Mac file archive created by COMPACT PRO (ext-pc.zip)
Corel Photo-Paint Image
Encrypted memo file (dBASE)
Template (CA-Cricket Presents)
.cpx   |   Control Panel Applet
